what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1364397559620
java.specification.vendor,sysinfo,,,"Oracle Corporation",1364397559620
java.specification.version,sysinfo,,,"1.7",1364397559620
java.vendor,sysinfo,,,"Oracle Corporation",1364397559620
java.version,sysinfo,,,"1.7.0_04",1364397559620
java.vm.info,sysinfo,,,"mixed mode, sharing",1364397559620
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1364397559620
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1364397559620
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1364397559620
java.vm.specification.version,sysinfo,,,"1.7",1364397559620
java.vm.vendor,sysinfo,,,"Oracle Corporation",1364397559620
java.vm.version,sysinfo,,,"23.0-b21",1364397559620
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1364397559620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1364397565455
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1364397574534
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1364397574596
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1364397574643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364397586156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364397588480
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364397588574
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1364397588683
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1364397588808
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1364397588808
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1364397588808
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1364397588808
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1364397588824
